Solving time,Build time,Retrace time,Memory usage
0.157,0.673,0.016,3500000
0.159,0.684,0.016,3500000
0.166,0.689,0.017,3500000
0.160,0.676,0.016,3500000
0.159,0.716,0.016,3500000
0.161,0.684,0.016,3500000
0.159,0.720,0.016,3500000
0.157,0.729,0.016,3500000
0.160,0.656,0.016,3500000
0.169,0.669,0.016,3500000
