Solving time,Build time,Retrace time,Memory usage
0.036,0.077,0.004,500000
0.031,0.077,0.004,500000
0.030,0.077,0.005,500000
0.032,0.076,0.006,500000
0.027,0.076,0.006,500000
0.028,0.080,0.005,500000
0.026,0.078,0.006,500000
0.021,0.076,0.003,500000
0.032,0.077,0.006,500000
0.025,0.075,0.004,500000
