Solving time,Build time,Retrace time,Memory usage
0.013,0.025,0.003,200000
0.010,0.026,0.003,200000
0.009,0.025,0.001,200000
0.009,0.025,0.001,200000
0.009,0.027,0.001,200000
0.013,0.026,0.002,200000
0.012,0.026,0.001,200000
0.013,0.027,0.002,200000
0.013,0.025,0.001,200000
0.009,0.025,0.001,200000
