Solving time,Build time,Retrace time,Memory usage
0.406,1.874,0.044,8500000
0.407,1.874,0.044,8500000
0.408,1.855,0.044,8500000
0.410,1.864,0.044,8500000
0.408,1.876,0.044,8500000
0.409,1.963,0.044,8500000
0.408,1.862,0.043,8500000
0.403,1.902,0.043,8500000
0.406,1.856,0.043,8500000
0.403,1.898,0.043,8500000
