Timestamp,A,B,C,D,E,F,G
# Rerun, too small dataset
1433257733,,33.307,33.759,,,,
1433257721,,21.326,21.713,,,,
1433257733,,33.030,32.648,,,,
1433257720,,20.927,20.663,,,,
