Timestamp,A,B,C,D
1433258750,50.159,50.558,,
1433258738,38.151,38.487,,
1433258726,26.228,26.535,,
1433258714,14.457,14.617,,
1433258702,02.481,02.665,,
1433258749,49.851,49.604,,
1433258737,37.967,37.593,,
1433258726,26.136,25.918,,
1433258714,14.243,13.908,,
1433258702,02.327,01.925,,
