Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60,ip.dst==129.241.205.108,ip.dst==129.241.200.199
245,100247,100435,88770,49784,59838,100308
246,87236,49983,61404,100603,100231,99494
247,62220,100266,99903,99130,84773,50095
248,100001,99836,85151,50515,65143,99742
249,83842,50051,65471,100142,100123,99971
250,66872,99781,100046,99188,82719,50806
251,100352,99723,83045,50881,67035,99319
252,82057,49977,67239,100038,99646,100859
253,67089,100062,99947,100000,82423,49780
254,100377,100882,81336,49181,68312,99608
255,82310,50085,67685,100804,99057,100490
256,67971,99779,100021,99337,83029,49669
257,99755,100200,80277,50556,67944,100384
258,81882,49236,69911,100155,99538,99209
259,67764,100703,100076,99406,81641,50177
260,100415,99896,81122,50623,67874,100726
261,80855,49148,69150,99394,100770,99980
262,69386,100212,99614,99581,81279,49657
263,99152,100210,82834,50081,68009,99602
264,80023,49689,67276,100520,100695,100411
265,70418,100100,100183,100189,78661,49411
266,100176,100146,78776,49363,70601,100917
267,79544,50049,71056,99995,100632,99344
268,70469,100474,100379,100219,77737,50397
269,99715,99188,79630,50143,71780,99738
270,50193,39158,49616,49553,50049,50422
